ID,SyntacticCategory,FeatureName,OriginalName,FeatureValues,OriginalValues,ColumnWidth,FeatureExamples,OriginalExamples,NumberOfOriginalValues,HideFeature
101,105,"Speaker","Speaker","Not Applicable/0|Adult Daughter/A|Adult Son/B|Angel/C|Animal/D|Boy/E|Brother/k|Crowd/F|Daughter/g|Demon/G|Disciple/H|Employee/I|Employer/J|Father/K|Girl/L|God/M|Government Leader/N|Government Official/O|Group of Friends/j|Holy Spirit/P|Husband/Q|Jesus/R|King/S|Man/T|Military Leader/U|Mother/V|Prophet/W|Queen/X|Religious Leader/Y|Satan/Z|Servant/f|Sister/l|Slave/a|Slave Owner/b|Soldier/c|Son/h|Wife/d|Woman/e|Written Material to General Audience (letter,law,etc.)/i|","Not Applicable/0|Adult Daughter/A|Adult Son/B|Angel/C|Animal/D|Boy/E|Brother/k|Crowd/F|Daughter/g|Demon/G|Disciple/H|Employee/I|Employer/J|Father/K|Girl/L|God/M|Government Leader/N|Government Official/O|Group of Friends/j|Holy Spirit/P|Husband/Q|Jesus/R|King/S|Man/T|Military Leader/U|Mother/V|Prophet/W|Queen/X|Religious Leader/Y|Satan/Z|Servant/f|Sister/l|Slave/a|Slave Owner/b|Soldier/c|Son/h|Wife/d|Woman/e|Written Material to General Audience (letter,law,etc.)/i|",256,"||||||||||||||||||||||||||||||||",,"62",1
104,105,"Speaker`s Age","Speaker`s Age","Not Applicable/N|Child (0-17)/A|Young Adult (18-24)/B|Adult (25-49)/C|Elder (50+)/D|","Not Applicable/N|Child (0-17)/A|Young Adult (18-24)/B|Adult (25-49)/C|Elder (50+)/D|",110,"|||||",,"5",1
105,105,"Speaker-Listener Age","Speaker-Listener Age","Not Applicable/N|Older - Different Generation/O|Older - Same Generation/o|Essentially the Same Age/S|Younger - Different Generation/Y|Younger - Same Generation/y|","Not Applicable/N|Older - Different Generation/O|Older - Same Generation/o|Essentially the Same Age/S|Younger - Different Generation/Y|Younger - Same Generation/y|",155,"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",,"0",1
106,105,"Speech Style","Speech Style","Not Applicable/N|","Not Applicable/N|",0,,,"0",1
107,105,"Discourse Genre","Discourse Genre","Climactic Narrative Story/N|Episodic Narrative Story/n|Narrative Prophecy/r|Expository/E|Behavioral Hortatory/H|Behavioral Eulogy/B|Procedural/P|Persuasive/R|Expressive/e|Descriptive/D|Epistolary/p|Dramatic Narrative/d|Dialog/G|Genealogy/g|","Climactic Narrative Story/N|Episodic Narrative Story/n|Narrative Prophecy/r|Expository/E|Behavioral Hortatory/H|Behavioral Eulogy/B|Procedural/P|Persuasive/R|Expressive/e|Descriptive/D|Epistolary/p|Dramatic Narrative/d|Dialog/G|Genealogy/g|",130,,,"13",0
108,105,"Notional Structure Schema","Notional Structure Schema","Not Applicable/N|Narrative-Exposition/E|Narrative-Inciting Incident/I|Narrative-Developing Conflict/d|Narrative-Climax/C|Narrative-Denouement/D|Narrative-Final Suspense/F|Narrative-Conclusion/c|Hortatory-Authority Establishment/A|Hortatory-Problem or Situation/P|Hortatory-Issuing of Commands/i|Hortatory-Motivation/M|Procedural-Problem or Need/p|Procedural-Preparatory Procedures/a|Procedural-Main Procedures/b|Procedural-Concluding Procedures/e|Persuasive-Problem or Question/f|Persuasive-Proposed Solution or Answer/g|Persuasive-Supporting Argumentation/h|Persuasive-Appeal/j|Expository-Problem or Situation/k|Expository-Solution or Answer/m|Expository-Supporting Argumentation/n|Expository-Evaluation of Solutions/o|","Not Applicable/N|Narrative-Exposition/E|Narrative-Inciting Incident/I|Narrative-Developing Conflict/d|Narrative-Climax/C|Narrative-Denouement/D|Narrative-Final Suspense/F|Narrative-Conclusion/c|Hortatory-Authority Establishment/A|Hortatory-Problem or Situation/P|Hortatory-Issuing of Commands/i|Hortatory-Motivation/M|Procedural-Problem or Need/p|Procedural-Preparatory Procedures/a|Procedural-Main Procedures/b|Procedural-Concluding Procedures/e|Persuasive-Problem or Question/f|Persuasive-Proposed Solution or Answer/g|Persuasive-Supporting Argumentation/h|Persuasive-Appeal/j|Expository-Problem or Situation/k|Expository-Solution or Answer/m|Expository-Supporting Argumentation/n|Expository-Evaluation of Solutions/o|",200,"Hwang handout 2-12-02.  Hwang. A Profile and discourse analysis of an English short story.  Hwang. Approaching a narrative: charting and chunking.",,"24",1
109,105,"Salience Band","Salience Band","Not Applicable/N|Pivotal Storyline/1|Primary Storyline/P|Secondary Storyline/2|Script Predictable Actions/S|Backgrounded Actions/B|Flashback/F|Setting/s|Irrealis/I|Author Intrusion/E|Cohesive Material/C|","Not Applicable/N|Pivotal Storyline/1|Primary Storyline/P|Secondary Storyline/2|Script Predictable Actions/S|Backgrounded Actions/B|Flashback/F|Setting/s|Irrealis/I|Author Intrusion/E|Cohesive Material/C|",130,"Longacre. TGOD. P. 28.  Longacre. 1990. Storyline Concerns and Word Order Typology.",,"11",0
110,105,"Sequence","Sequence","Not in a Sequence/N|First Coordinate/F|Last Coordinate/L|Coordinate/C|","Not in a Sequence/N|First Coordinate/F|Last Coordinate/L|Coordinate/C|",150,,,"4",0
111,105,"Location","Location","Not Applicable/N|First in Book/F|Last in Book/L|First in Paragraph/f|Last in Paragraph/l|Discourse Title/T|Parenthetical Comment/P|General Footnote/G|Footnote Explaining a Hebrew Name/o|Footnote Explaining a Biblical Unit of Measurement/M|Cross Reference Footnote/C|Study Footnote/S|Devotional Footnote/D|Questionable Text/Q|Prepose Short Sentence/r|Postpose Short Sentence/p|","Not Applicable/N|First in Book/F|Last in Book/L|First in Paragraph/f|Last in Paragraph/l|Discourse Title/T|Parenthetical Comment/P|General Footnote/G|Footnote Explaining a Hebrew Name/o|Footnote Explaining a Biblical Unit of Measurement/M|Cross Reference Footnote/C|Study Footnote/S|Devotional Footnote/D|Questionable Text/Q|Prepose Short Sentence/r|Postpose Short Sentence/p|",258,"||||||",,"16",0
112,105,"Implicit Information","Implicit Information","Not Applicable/N|Implicit Cultural Information/C|Implicit Situational Information/S|Implicit Historical Information/H|Implicit Background Information/B|Implicit Subactions/s|Implicit Argument/A|","Not Applicable/N|Implicit Cultural Information/C|Implicit Situational Information/S|Implicit Historical Information/H|Implicit Background Information/B|Implicit Subactions/s|Implicit Argument/A|",160,,,"7",0
116,105,"Spare 3","Spare 3","Unspecified/.|","Unspecified/.|",0,,,"0",1
121,105,"Spare 8","Spare 8","Unspecified/.|","Unspecified/.|",0,,,"0",1
122,105,"Spare 9","Spare 9","Unspecified/.|","Unspecified/.|",0,,,"0",1
123,105,"Spare 10","Spare 10","Unspecified/.|","Unspecified/.|",0,,,"0",1
124,105,"Spare 11","Spare 11","Unspecified/.|","Unspecified/.|",0,,,"0",1
125,105,"Spare 12","Spare 12","Unspecified/.|","Unspecified/.|",0,,,"0",1
126,105,"Spare 13","Spare 13","Unspecified/.|","Unspecified/.|",0,,,"0",1
127,105,"Spare 14","Spare 14","Unspecified/.|","Unspecified/.|",0,,,"0",1
128,105,"Spare 15","Spare 15","Unspecified/.|","Unspecified/.|",0,,,"0",1
24,2,"Target Aspect","Target Aspect","Inceptive/N|Completive/C|Cessative/c|Continuative/o|Imperfective/I|Routinely/R|Habitual/H|Gnomic/G|Unmarked/U|Unspecified/.|","Inceptive/N|Completive/C|Cessative/c|Continuative/o|Imperfective/I|Routinely/R|Habitual/H|Gnomic/G|Unmarked/U|Unspecified/.|",110,"John started walking.|John finished walking.|John stopped walking.|John continued walking.|John was walking.|John walked.|John regularly walked.|Oil floats on water.|","John started walking.|John finished walking.|John stopped walking.|John continued walking.|John was walking.|John walked.|John regularly walked.|Oil floats on water.|","9",0
