ID,SyntacticCategory,FeatureName,OriginalName,FeatureValues,OriginalValues,ColumnWidth,FeatureExamples,OriginalExamples,NumberOfOriginalValues,HideFeature
17,2,"Time","Time","Present/P|Immediate Past/D|Earlier Today/A|Yesterday/a|2 Days Ago/b|3 Days Ago/c|A Week Ago/d|A Month Ago/e|A Year Ago/f|During Speaker's Lifetime/g|Historic Past/h|Eternity Past/i|Unknown Past/q|Discourse/r|Immediate Future/E|Later Today/F|Tomorrow/j|2 Days from Now/k|3 Days from Now/l|A Week from Now/m|A Month from Now/n|A Year from Now/o|Unknown Future/p|Timeless/T|","Present/P|Immediate Past/D|Earlier Today/A|Yesterday/a|2 Days Ago/b|3 Days Ago/c|A Week Ago/d|A Month Ago/e|A Year Ago/f|During Speaker's Lifetime/g|Historic Past/h|Eternity Past/i|Unknown Past/q|Discourse/r|Immediate Future/E|Later Today/F|Tomorrow/j|2 Days from Now/k|3 Days from Now/l|A Week from Now/m|A Month from Now/n|A Year from Now/o|Unknown Future/p|Timeless/T|",130,"|||||||||||2 Timothy 1:9b  ""This grace <BLD>was given<> to us in Christ Jesus before the beginning of time.""|||||||||","|||||||||||2 Timothy 1:9b  ""This grace <BLD>was given<> to us in Christ Jesus before the beginning of time.""|||||||||","22",0
18,2,"Aspect","Aspect","Inceptive/N|Completive/C|Cessative/c|Continuative/o|Imperfective/I|Routinely/R|Habitual/H|Gnomic/G|Unmarked/U|","Inceptive/N|Completive/C|Cessative/c|Continuative/o|Imperfective/I|Routinely/R|Habitual/H|Gnomic/G|Unmarked/U|",90,"emphasizes the beginning of the action - 'John started walking.'|emphasizes the completion of the action - 'John finished walking.'|emphasizes the termination of the action - 'John stopped walking.'|emphasizes the continuation of the action - 'John continued walking.'|emphasizes that the action is ongoing (only used in direct quotes) - 'John is sleeping.'|the action is performed routinely (without emphasis) - 'John walks to work.'|the action is performed regularly (with emphasis) - 'John regularly walks to work.'|the action is always true - 'Oil floats on water.'|","emphasizes the beginning of the action - 'John started walking.'|emphasizes the completion of the action - 'John finished walking.'|emphasizes the termination of the action - 'John stopped walking.'|emphasizes the continuation of the action - 'John continued walking.'|emphasizes that the action is ongoing (only used in direct quotes) - 'John is sleeping.'|the action is performed routinely (without emphasis) - 'John walks to work.'|the action is performed regularly (with emphasis) - 'John regularly walks to work.'|the action is always true - 'Oil floats on water.'|","8",0
19,2,"Mood","Mood","Indicative/I|Definite Potential/a|Probable Potential/b|'might' Potential/c|'might not' Potential/j|Unlikely Potential/d|Impossible Potential/e|'must' Obligation/f|'should' Obligation/g|'should not' Obligation/h|Forbidden Obligation/i|'may' (permissive)/l|","Indicative/I|Definite Potential/a|Probable Potential/b|'might' Potential/c|'might not' Potential/j|Unlikely Potential/d|Impossible Potential/e|'must' Obligation/f|'should' Obligation/g|'should not' Obligation/h|Forbidden Obligation/i|'may' (permissive)/l|",120,,,"12",0
20,2,"Reflexivity","Reflexivity","Not Applicable/N|Reciprocal/R|Reflexive/r|","Not Applicable/N|Reciprocal/R|Reflexive/r|",90,"|They saw one another.|","|They saw one another.|","2",0
21,2,"Polarity","Polarity","Affirmative/A|Negative/N|Emphatic Affirmative/E|Emphatic Negative/e|","Affirmative/A|Negative/N|Emphatic Affirmative/E|Emphatic Negative/e|",110,,,"4",0
26,2,"Spare 1","Spare 1","Unspecified/.|","Unspecified/.|",0,,,"0",1
27,2,"Spare 2","Spare 2","Unspecified/.|","Unspecified/.|",0,,,"0",1
28,2,"Spare 3","Spare 3","Unspecified/.|","Unspecified/.|",0,,,"0",1
29,2,"Spare 4","Spare 4","Unspecified/.|","Unspecified/.|",0,,,"0",1
30,2,"Spare 5","Spare 5","Unspecified/.|","Unspecified/.|",0,,,"0",1
31,2,"Spare 6","Spare 6","Unspecified/.|","Unspecified/.|",0,,,"0",1
33,2,"Spare 8","Spare 8","Unspecified/.|","Unspecified/.|",0,,,"0",1
35,3,"Spare 1","Spare 1","Unspecified/.|","Unspecified/.|",0,,,"0",1
36,3,"Spare 2","Spare 2","Unspecified/.|","Unspecified/.|",0,,,"0",1
37,3,"Spare 3","Spare 3","Unspecified/.|","Unspecified/.|",0,,,"0",1
38,3,"Spare 4","Spare 4","Unspecified/.|","Unspecified/.|",0,,,"0",1
39,3,"Spare 5","Spare 5","Unspecified/.|","Unspecified/.|",0,,,"0",1
40,4,"Degree","Degree","No Degree/N|Comparative/C|Superlative/S|Intensified/V|Extremely Intensified/E|'too'/T|'less'/L|'least'/l|","No Degree/N|Comparative/C|Superlative/S|Intensified/V|Extremely Intensified/E|'too'/T|'less'/L|'least'/l|",110,"He walked <BLD>quietly<>.|He walked <BLD>more<> quietly.|He walked <BLD>most<> quietly.|He walked <BLD>very<> quietly.|He walked <BLD>extremely<> quietly.|He walked <BLD>too<> quietly.|He walked <BLD>less quickly<> than Mary.|He walked the <BLD>least<> quickly.|","He walked <BLD>quietly<>.|He walked <BLD>more<> quietly.|He walked <BLD>most<> quietly.|He walked <BLD>very<> quietly.|He walked <BLD>extremely<> quietly.|He walked <BLD>too<> quietly.|He walked <BLD>less quickly<> than Mary.|He walked the <BLD>least<> quickly.|","8",0
41,4,"Spare 1","Spare 1","Unspecified/.|","Unspecified/.|",0,,,"0",1
42,4,"Spare 2","Spare 2","Unspecified/.|","Unspecified/.|",0,,,"0",1
43,4,"Spare 3","Spare 3","Unspecified/.|","Unspecified/.|",0,,,"0",1
44,4,"Spare 4","Spare 4","Unspecified/.|","Unspecified/.|",0,,,"0",1
45,4,"Spare 5","Spare 5","Unspecified/.|","Unspecified/.|",0,,,"0",1
46,5,"Spare 1","Spare 1","Unspecified/.|","Unspecified/.|",0,,,"0",1
47,5,"Spare 2","Spare 2","Unspecified/.|","Unspecified/.|",0,,,"0",1
48,5,"Spare 3","Spare 3","Unspecified/.|","Unspecified/.|",0,,,"0",1
49,5,"Spare 4","Spare 4","Unspecified/.|","Unspecified/.|",0,,,"0",1
50,5,"Spare 5","Spare 5","Unspecified/.|","Unspecified/.|",0,,,"0",1
52,6,"Spare 2","Spare 2","Unspecified/.|","Unspecified/.|",0,,,"0",1
53,6,"Spare 3","Spare 3","Unspecified/.|","Unspecified/.|",0,,,"0",1
54,6,"Spare 4","Spare 4","Unspecified/.|","Unspecified/.|",0,,,"0",1
55,6,"Spare 5","Spare 5","Unspecified/.|","Unspecified/.|",0,,,"0",1
56,7,"Spare 1","Spare 1","Unspecified/.|","Unspecified/.|",0,,,"0",1
57,7,"Spare 2","Spare 2","Unspecified/.|","Unspecified/.|",0,,,"0",1
58,7,"Spare 3","Spare 3","Unspecified/.|","Unspecified/.|",0,,,"0",1
59,7,"Spare 4","Spare 4","Unspecified/.|","Unspecified/.|",0,,,"0",1
60,7,"Spare 5","Spare 5","Unspecified/.|","Unspecified/.|",0,,,"0",1
61,8,"Spare 1","Spare 1","Unspecified/.|","Unspecified/.|",0,,,"0",1
62,8,"Spare 2","Spare 2","Unspecified/.|","Unspecified/.|",0,,,"0",1
63,8,"Spare 3","Spare 3","Unspecified/.|","Unspecified/.|",0,,,"0",1
64,8,"Spare 4","Spare 4","Unspecified/.|","Unspecified/.|",0,,,"0",1
65,8,"Spare 5","Spare 5","Unspecified/.|","Unspecified/.|",0,,,"0",1
66,101,"Sequence","Sequence","Not in a Sequence/S|First Coordinate/F|Last Coordinate/L|Coordinate/C|","Not in a Sequence/S|First Coordinate/F|Last Coordinate/L|Coordinate/C|",100,"<BLD>Jack<> went to town.|<BLD>Jack<> and Jill went to town.|Jack, John, <BLD>and Jill<> went to town.|Jack, <BLD>Jill<>, and John went to town.|","<BLD>Jack<> went to town.|<BLD>Jack<> and Jill went to town.|Jack, John, <BLD>and Jill<> went to town.|Jack, <BLD>Jill<>, and John went to town.|","4",0
